LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
34s         Normal   Scheduled           pod/envmanager-76c64c8cc9-nqmxf                      Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-nqmxf to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
34s         Normal   Scheduled           pod/builder-678474bf88-lq27p                         Successfully assigned turbo-engine-e2e/builder-678474bf88-lq27p to turbo-engine-e2e-control-plane
34s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-pn5rk                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-pn5rk to turbo-engine-e2e-control-plane
34s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-lq27p
34s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
34s         Normal   Scheduled           pod/console-78fbd5c84-7rkx5                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-7rkx5 to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-v9899
34s         Normal   Scheduled           pod/jaeger-54885dfdf-v9899                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-v9899 to turbo-engine-e2e-control-plane
34s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-7rkx5
34s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
34s         Normal   ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-9rhdz
34s         Normal   Scheduled           pod/gateway-586c64fdf5-9rhdz                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-9rhdz to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/explorer                                  Scaled up replica set explorer-5465b84fd from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/explorer-5465b84fd                        Created pod: explorer-5465b84fd-s64qt
