LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
43s         Normal    Scheduled           pod/envmanager-76c64c8cc9-4hvtg                      Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-4hvtg to turbo-engine-e2e-control-plane
43s         Normal    Scheduled           pod/builder-678474bf88-lp2wk                         Successfully assigned turbo-engine-e2e/builder-678474bf88-lp2wk to turbo-engine-e2e-control-plane
43s         Normal    ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
43s         Normal    SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-dg6qc
43s         Normal    SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-lp2wk
43s         Normal    ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
43s         Normal    Scheduled           pod/console-78fbd5c84-8b5ls                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-8b5ls to turbo-engine-e2e-control-plane
43s         Normal    ScalingReplicaSet   deployment/explorer                                  Scaled up replica set explorer-5465b84fd from 0 to 1
43s         Normal    SuccessfulCreate    replicaset/explorer-5465b84fd                        Created pod: explorer-5465b84fd-cbdgh
43s         Normal    Scheduled           pod/explorer-5465b84fd-cbdgh                         Successfully assigned turbo-engine-e2e/explorer-5465b84fd-cbdgh to turbo-engine-e2e-control-plane
43s         Normal    SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-8b5ls
43s         Normal    ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
43s         Normal    ScalingReplicaSet   deployment/envmanager                                Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
43s         Normal    SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-4hvtg
42s         Normal    Pulling             pod/otel-collector-8584bc4d4c-kjnlz                  Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
42s         Normal    Pulled              pod/registry-7d5f66bcd8-b5gvm                        Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
42s         Normal    ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
42s         Normal    SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-ln7lg
42s         Normal    ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
42s         Normal    Scheduled           pod/registry-7d5f66bcd8-b5gvm                        Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-b5gvm to turbo-engine-e2e-control-plane
42s         Normal    Pulled              pod/builder-678474bf88-lp2wk                         Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
42s         Normal    Scheduled           pod/turbo-engine-operator-7cd95f4bc4-ln7lg           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-ln7lg to turbo-engine-e2e-control-plane
42s         Normal    ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
42s         Normal    SuccessfulCreate    replicaset/registry-7d5f66bcd8                       Created pod: registry-7d5f66bcd8-b5gvm
42s         Normal    SuccessfulCreate    replicaset/otel-collector-8584bc4d4c                 Created pod: otel-collector-8584bc4d4c-kjnlz
42s         Normal    Pulled              pod/envmanager-76c64c8cc9-4hvtg                      Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
42s         Normal    Created             pod/envmanager-76c64c8cc9-4hvtg                      Container created
42s         Normal    Started             pod/envmanager-76c64c8cc9-4hvtg                      Container started
42s         Normal    Created             pod/registry-7d5f66bcd8-b5gvm                        Container created
42s         Normal    Pulling             pod/jaeger-54885dfdf-rfxnb                           Pulling image "jaegertracing/all-in-one:1.54"
42s         Normal    Scheduled           pod/otel-collector-8584bc4d4c-kjnlz                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-kjnlz to turbo-engine-e2e-control-plane
42s         Normal    Pulled              pod/explorer-5465b84fd-cbdgh                         Container image "turbo-engine/explorer:e2e" already present on machine and can be accessed by the pod
42s         Normal    Created             pod/explorer-5465b84fd-cbdgh                         Container created
42s         Normal    ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
42s         Normal    Created             pod/console-78fbd5c84-8b5ls                          Container created
42s         Normal    Pulled              pod/console-78fbd5c84-8b5ls                          Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
42s         Normal    Scheduled           pod/gateway-586c64fdf5-dg6qc                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-dg6qc to turbo-engine-e2e-control-plane
42s         Normal    Pulled              pod/gateway-586c64fdf5-dg6qc                         Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
42s         Normal    Created             pod/gateway-586c64fdf5-dg6qc                         Container created
42s         Normal    Started             pod/gateway-586c64fdf5-dg6qc                         Container started
42s         Normal    SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-rfxnb
42s         Normal    Started             pod/builder-678474bf88-lp2wk                         Container started
42s         Normal    Created             pod/builder-678474bf88-lp2wk                         Container created
42s         Normal    Scheduled           pod/jaeger-54885dfdf-rfxnb                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-rfxnb to turbo-engine-e2e-control-plane
41s         Normal    Started             pod/registry-7d5f66bcd8-b5gvm                        Container started
41s         Normal    Started             pod/explorer-5465b84fd-cbdgh                         Container started
41s         Normal    Started             pod/console-78fbd5c84-8b5ls                          Container started
41s         Normal    Pulled              pod/turbo-engine-operator-7cd95f4bc4-ln7lg           Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
41s         Normal    Created             pod/turbo-engine-operator-7cd95f4bc4-ln7lg           Container created
41s         Normal    Started             pod/turbo-engine-operator-7cd95f4bc4-ln7lg           Container started
40s         Normal    Pulled              pod/jaeger-54885dfdf-rfxnb                           Successfully pulled image "jaegertracing/all-in-one:1.54" in 1.886s (1.886s including waiting). Image size: 33344095 bytes.
40s         Normal    Created             pod/jaeger-54885dfdf-rfxnb                           Container created
39s         Normal    Started             pod/jaeger-54885dfdf-rfxnb                           Container started
