LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
34s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c                 Created pod: otel-collector-8584bc4d4c-7zpxm
34s         Normal   ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
34s         Normal   Scheduled           pod/builder-678474bf88-2jdnk                         Successfully assigned turbo-engine-e2e/builder-678474bf88-2jdnk to turbo-engine-e2e-control-plane
34s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-7zpxm                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-7zpxm to turbo-engine-e2e-control-plane
34s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-2jdnk
34s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
34s         Normal   Scheduled           pod/console-78fbd5c84-xt5n5                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-xt5n5 to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-2vjms
34s         Normal   Scheduled           pod/jaeger-54885dfdf-2vjms                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-2vjms to turbo-engine-e2e-control-plane
34s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-xt5n5
34s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
34s         Normal   ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-gvh9r
34s         Normal   Scheduled           pod/gateway-586c64fdf5-gvh9r                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-gvh9r to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/envmanager                                Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-rgfhd
