LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
35s         Normal   ScalingReplicaSet   deployment/otel-collector                       Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
35s         Normal   ScalingReplicaSet   deployment/console                              Scaled up replica set console-78fbd5c84 from 0 to 1
35s         Normal   Scheduled           pod/builder-678474bf88-kkf9h                    Successfully assigned turbo-engine-e2e/builder-678474bf88-kkf9h to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c            Created pod: otel-collector-8584bc4d4c-qsp2b
35s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                   Created pod: builder-678474bf88-kkf9h
35s         Normal   ScalingReplicaSet   deployment/builder                              Scaled up replica set builder-678474bf88 from 0 to 1
35s         Normal   Scheduled           pod/console-78fbd5c84-bnd4m                     Successfully assigned turbo-engine-e2e/console-78fbd5c84-bnd4m to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-qsp2b             Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-qsp2b to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/jaeger                               Scaled up replica set jaeger-54885dfdf from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                     Created pod: jaeger-54885dfdf-dssrh
35s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                    Created pod: console-78fbd5c84-bnd4m
35s         Normal   Scheduled           pod/gateway-586c64fdf5-vzxtx                    Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-vzxtx to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4     Created pod: turbo-engine-operator-7cd95f4bc4-jrncq
35s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                   Created pod: gateway-586c64fdf5-vzxtx
35s         Normal   ScalingReplicaSet   deployment/registry                             Scaled up replica set registry-7d5f66bcd8 from 0 to 1
35s         Normal   Scheduled           pod/jaeger-54885dfdf-dssrh                      Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-dssrh to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-jrncq      Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-jrncq to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/envmanager-76c64c8cc9-dqf28                 Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-dqf28 to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/gateway                              Scaled up replica set gateway-586c64fdf5 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                  Created pod: registry-7d5f66bcd8-b4zrn
35s         Normal   Scheduled           pod/registry-7d5f66bcd8-b4zrn                   Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-b4zrn to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                Created pod: envmanager-76c64c8cc9-dqf28
35s         Normal   ScalingReplicaSet   deployment/envmanager                           Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
34s         Normal   Started             pod/envmanager-76c64c8cc9-dqf28                 Container started
34s         Normal   Pulled              pod/gateway-586c64fdf5-vzxtx                    Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/builder-678474bf88-kkf9h                    Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/registry-7d5f66bcd8-b4zrn                   Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/envmanager-76c64c8cc9-dqf28                 Container created
34s         Normal   Pulled              pod/envmanager-76c64c8cc9-dqf28                 Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-jrncq      Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulling             pod/jaeger-54885dfdf-dssrh                      Pulling image "jaegertracing/all-in-one:1.54"
34s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-jrncq      Container created
34s         Normal   Started             pod/turbo-engine-operator-7cd95f4bc4-jrncq      Container started
34s         Normal   Started             pod/registry-7d5f66bcd8-b4zrn                   Container started
34s         Normal   Started             pod/console-78fbd5c84-bnd4m                     Container started
34s         Normal   Created             pod/console-78fbd5c84-bnd4m                     Container created
34s         Normal   Pulled              pod/console-78fbd5c84-bnd4m                     Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulling             pod/otel-collector-8584bc4d4c-qsp2b             Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
34s         Normal   Created             pod/registry-7d5f66bcd8-b4zrn                   Container created
34s         Normal   Created             pod/gateway-586c64fdf5-vzxtx                    Container created
34s         Normal   Started             pod/gateway-586c64fdf5-vzxtx                    Container started
34s         Normal   Started             pod/builder-678474bf88-kkf9h                    Container started
34s         Normal   Created             pod/builder-678474bf88-kkf9h                    Container created
32s         Normal   Created             pod/otel-collector-8584bc4d4c-qsp2b             Container created
32s         Normal   Started             pod/otel-collector-8584bc4d4c-qsp2b             Container started
32s         Normal   Pulled              pod/otel-collector-8584bc4d4c-qsp2b             Successfully pulled image "otel/opentelemetry-collector-contrib:0.96.0" in 2.193s (2.193s including waiting). Image size: 65128183 bytes.
31s         Normal   Created             pod/jaeger-54885dfdf-dssrh                      Container created
31s         Normal   Pulled              pod/jaeger-54885dfdf-dssrh                      Successfully pulled image "jaegertracing/all-in-one:1.54" in 1.133s (3.183s including waiting). Image size: 33344095 bytes.
30s         Normal   Started             pod/jaeger-54885dfdf-dssrh                      Container started
11s         Normal   ScalingReplicaSet   deployment/deploy-k8s-e2e-test-pkg              Scaled up replica set deploy-k8s-e2e-test-pkg-566b4d547d from 0 to 1
11s         Normal   SuccessfulCreate    replicaset/deploy-k8s-e2e-test-pkg-566b4d547d   Created pod: deploy-k8s-e2e-test-pkg-566b4d547d-7m2lj
11s         Normal   Created             pod/deploy-k8s-e2e-test-pkg-566b4d547d-7m2lj    Container created
11s         Normal   Pulled              pod/deploy-k8s-e2e-test-pkg-566b4d547d-7m2lj    Container image "turbo-engine/echo-server:e2e" already present on machine and can be accessed by the pod
11s         Normal   Scheduled           pod/deploy-k8s-e2e-test-pkg-566b4d547d-7m2lj    Successfully assigned turbo-engine-e2e/deploy-k8s-e2e-test-pkg-566b4d547d-7m2lj to turbo-engine-e2e-control-plane
10s         Normal   Started             pod/deploy-k8s-e2e-test-pkg-566b4d547d-7m2lj    Container started
