LAST SEEN   TYPE     REASON              OBJECT                                              MESSAGE
37s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                         Created pod: jaeger-54885dfdf-qpjrp
37s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                       Created pod: gateway-586c64fdf5-c2xcn
37s         Normal   Created             pod/builder-678474bf88-nss52                        Container created
37s         Normal   ScalingReplicaSet   deployment/otel-collector                           Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
37s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                       Created pod: builder-678474bf88-nss52
37s         Normal   ScalingReplicaSet   deployment/builder                                  Scaled up replica set builder-678474bf88 from 0 to 1
37s         Normal   Scheduled           pod/console-78fbd5c84-jz48d                         Successfully assigned turbo-engine-e2e/console-78fbd5c84-jz48d to turbo-engine-e2e-control-plane
37s         Normal   Scheduled           pod/builder-678474bf88-nss52                        Successfully assigned turbo-engine-e2e/builder-678474bf88-nss52 to turbo-engine-e2e-control-plane
37s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-gjh2k                 Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-gjh2k to turbo-engine-e2e-control-plane
37s         Normal   ScalingReplicaSet   deployment/jaeger                                   Scaled up replica set jaeger-54885dfdf from 0 to 1
37s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                        Created pod: console-78fbd5c84-jz48d
37s         Normal   ScalingReplicaSet   deployment/console                                  Scaled up replica set console-78fbd5c84 from 0 to 1
37s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                    Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
37s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4         Created pod: turbo-engine-operator-7cd95f4bc4-hq6hm
37s         Normal   Pulled              pod/builder-678474bf88-nss52                        Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
37s         Normal   Scheduled           pod/explorer-5465b84fd-5wnrr                        Successfully assigned turbo-engine-e2e/explorer-5465b84fd-5wnrr to turbo-engine-e2e-control-plane
37s         Normal   ScalingReplicaSet   deployment/explorer                                 Scaled up replica set explorer-5465b84fd from 0 to 1
37s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-hq6hm          Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-hq6hm to turbo-engine-e2e-control-plane
37s         Normal   ScalingReplicaSet   deployment/registry                                 Scaled up replica set registry-7d5f66bcd8 from 0 to 1
37s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                      Created pod: registry-7d5f66bcd8-677kt
37s         Normal   Scheduled           pod/jaeger-54885dfdf-qpjrp                          Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-qpjrp to turbo-engine-e2e-control-plane
37s         Normal   Scheduled           pod/gateway-586c64fdf5-c2xcn                        Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-c2xcn to turbo-engine-e2e-control-plane
37s         Normal   ScalingReplicaSet   deployment/gateway                                  Scaled up replica set gateway-586c64fdf5 from 0 to 1
37s         Normal   Scheduled           pod/registry-7d5f66bcd8-677kt                       Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-677kt to turbo-engine-e2e-control-plane
37s         Normal   Scheduled           pod/envmanager-76c64c8cc9-gwvqt                     Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-gwvqt to turbo-engine-e2e-control-plane
37s         Normal   Pulled              pod/envmanager-76c64c8cc9-gwvqt                     Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
37s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c                Created pod: otel-collector-8584bc4d4c-gjh2k
37s         Normal   SuccessfulCreate    replicaset/explorer-5465b84fd                       Created pod: explorer-5465b84fd-5wnrr
37s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                    Created pod: envmanager-76c64c8cc9-gwvqt
