LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
35s         Normal   ScalingReplicaSet   deployment/otel-collector                       Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
35s         Normal   ScalingReplicaSet   deployment/console                              Scaled up replica set console-78fbd5c84 from 0 to 1
35s         Normal   Scheduled           pod/builder-678474bf88-8rq2f                    Successfully assigned turbo-engine-e2e/builder-678474bf88-8rq2f to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c            Created pod: otel-collector-8584bc4d4c-rjwlv
35s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                   Created pod: builder-678474bf88-8rq2f
35s         Normal   ScalingReplicaSet   deployment/builder                              Scaled up replica set builder-678474bf88 from 0 to 1
35s         Normal   Scheduled           pod/console-78fbd5c84-jjfr6                     Successfully assigned turbo-engine-e2e/console-78fbd5c84-jjfr6 to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-rjwlv             Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-rjwlv to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/jaeger                               Scaled up replica set jaeger-54885dfdf from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                     Created pod: jaeger-54885dfdf-nsv78
35s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                    Created pod: console-78fbd5c84-jjfr6
35s         Normal   Scheduled           pod/gateway-586c64fdf5-sxxlg                    Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-sxxlg to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4     Created pod: turbo-engine-operator-7cd95f4bc4-xht4w
35s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                   Created pod: gateway-586c64fdf5-sxxlg
35s         Normal   ScalingReplicaSet   deployment/registry                             Scaled up replica set registry-7d5f66bcd8 from 0 to 1
35s         Normal   Scheduled           pod/jaeger-54885dfdf-nsv78                      Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-nsv78 to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-xht4w      Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-xht4w to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/envmanager-76c64c8cc9-qr9kv                 Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-qr9kv to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/gateway                              Scaled up replica set gateway-586c64fdf5 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                  Created pod: registry-7d5f66bcd8-wnckh
35s         Normal   Scheduled           pod/registry-7d5f66bcd8-wnckh                   Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-wnckh to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                Created pod: envmanager-76c64c8cc9-qr9kv
35s         Normal   ScalingReplicaSet   deployment/envmanager                           Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
34s         Normal   Started             pod/envmanager-76c64c8cc9-qr9kv                 Container started
34s         Normal   Pulled              pod/gateway-586c64fdf5-sxxlg                    Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/builder-678474bf88-8rq2f                    Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/registry-7d5f66bcd8-wnckh                   Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/envmanager-76c64c8cc9-qr9kv                 Container created
34s         Normal   Pulled              pod/envmanager-76c64c8cc9-qr9kv                 Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-xht4w      Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulling             pod/jaeger-54885dfdf-nsv78                      Pulling image "jaegertracing/all-in-one:1.54"
34s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-xht4w      Container created
34s         Normal   Started             pod/turbo-engine-operator-7cd95f4bc4-xht4w      Container started
34s         Normal   Started             pod/registry-7d5f66bcd8-wnckh                   Container started
34s         Normal   Started             pod/console-78fbd5c84-jjfr6                     Container started
34s         Normal   Created             pod/console-78fbd5c84-jjfr6                     Container created
34s         Normal   Pulled              pod/console-78fbd5c84-jjfr6                     Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulling             pod/otel-collector-8584bc4d4c-rjwlv             Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
34s         Normal   Created             pod/registry-7d5f66bcd8-wnckh                   Container created
34s         Normal   Created             pod/gateway-586c64fdf5-sxxlg                    Container created
34s         Normal   Started             pod/gateway-586c64fdf5-sxxlg                    Container started
34s         Normal   Started             pod/builder-678474bf88-8rq2f                    Container started
34s         Normal   Created             pod/builder-678474bf88-8rq2f                    Container created
31s         Normal   Created             pod/otel-collector-8584bc4d4c-rjwlv             Container created
31s         Normal   Started             pod/otel-collector-8584bc4d4c-rjwlv             Container started
31s         Normal   Pulled              pod/otel-collector-8584bc4d4c-rjwlv             Successfully pulled image "otel/opentelemetry-collector-contrib:0.96.0" in 2.736s (2.737s including waiting). Image size: 65128183 bytes.
29s         Normal   Started             pod/jaeger-54885dfdf-nsv78                      Container started
29s         Normal   Created             pod/jaeger-54885dfdf-nsv78                      Container created
29s         Normal   Pulled              pod/jaeger-54885dfdf-nsv78                      Successfully pulled image "jaegertracing/all-in-one:1.54" in 2.201s (4.89s including waiting). Image size: 33344095 bytes.
15s         Normal   ScalingReplicaSet   deployment/deploy-k8s-e2e-test-pkg              Scaled up replica set deploy-k8s-e2e-test-pkg-7958865f98 from 0 to 1
15s         Normal   SuccessfulCreate    replicaset/deploy-k8s-e2e-test-pkg-7958865f98   Created pod: deploy-k8s-e2e-test-pkg-7958865f98-98ccn
15s         Normal   Started             pod/deploy-k8s-e2e-test-pkg-7958865f98-98ccn    Container started
15s         Normal   Created             pod/deploy-k8s-e2e-test-pkg-7958865f98-98ccn    Container created
15s         Normal   Pulled              pod/deploy-k8s-e2e-test-pkg-7958865f98-98ccn    Container image "turbo-engine/echo-server:e2e" already present on machine and can be accessed by the pod
15s         Normal   Scheduled           pod/deploy-k8s-e2e-test-pkg-7958865f98-98ccn    Successfully assigned turbo-engine-e2e/deploy-k8s-e2e-test-pkg-7958865f98-98ccn to turbo-engine-e2e-control-plane
