LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
34s         Normal   ScalingReplicaSet   deployment/otel-collector                       Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
34s         Normal   ScalingReplicaSet   deployment/envmanager                           Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
34s         Normal   Scheduled           pod/registry-7d5f66bcd8-n4k8x                   Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-n4k8x to turbo-engine-e2e-control-plane
34s         Normal   Scheduled           pod/builder-678474bf88-k4966                    Successfully assigned turbo-engine-e2e/builder-678474bf88-k4966 to turbo-engine-e2e-control-plane
34s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                   Created pod: builder-678474bf88-k4966
34s         Normal   ScalingReplicaSet   deployment/builder                              Scaled up replica set builder-678474bf88 from 0 to 1
34s         Normal   Scheduled           pod/console-78fbd5c84-xrztt                     Successfully assigned turbo-engine-e2e/console-78fbd5c84-xrztt to turbo-engine-e2e-control-plane
34s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c            Created pod: otel-collector-8584bc4d4c-mz2vv
34s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                   Created pod: gateway-586c64fdf5-5jd8v
34s         Normal   ScalingReplicaSet   deployment/registry                             Scaled up replica set registry-7d5f66bcd8 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                    Created pod: console-78fbd5c84-xrztt
34s         Normal   ScalingReplicaSet   deployment/console                              Scaled up replica set console-78fbd5c84 from 0 to 1
34s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4     Created pod: turbo-engine-operator-7cd95f4bc4-86srh
34s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-mz2vv             Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-mz2vv to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/jaeger                               Scaled up replica set jaeger-54885dfdf from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                     Created pod: jaeger-54885dfdf-x7sn4
34s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-86srh      Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-86srh to turbo-engine-e2e-control-plane
34s         Normal   Scheduled           pod/envmanager-76c64c8cc9-2xbsh                 Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-2xbsh to turbo-engine-e2e-control-plane
34s         Normal   Scheduled           pod/jaeger-54885dfdf-x7sn4                      Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-x7sn4 to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/gateway                              Scaled up replica set gateway-586c64fdf5 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                  Created pod: registry-7d5f66bcd8-n4k8x
34s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                Created pod: envmanager-76c64c8cc9-2xbsh
34s         Normal   Scheduled           pod/gateway-586c64fdf5-5jd8v                    Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-5jd8v to turbo-engine-e2e-control-plane
33s         Normal   Started             pod/console-78fbd5c84-xrztt                     Container started
33s         Normal   Created             pod/gateway-586c64fdf5-5jd8v                    Container created
33s         Normal   Pulled              pod/builder-678474bf88-k4966                    Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
