LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
35s         Normal   Scheduled           pod/envmanager-76c64c8cc9-nwmjw                      Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-nwmjw to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
35s         Normal   Scheduled           pod/builder-678474bf88-rz9nl                         Successfully assigned turbo-engine-e2e/builder-678474bf88-rz9nl to turbo-engine-e2e-control-plane
35s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-4c2lm                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-4c2lm to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-rz9nl
35s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
35s         Normal   Scheduled           pod/console-78fbd5c84-wvn8h                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-wvn8h to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-btnbs
35s         Normal   Scheduled           pod/jaeger-54885dfdf-btnbs                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-btnbs to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-wvn8h
35s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
35s         Normal   ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-s2h6r
35s         Normal   Scheduled           pod/gateway-586c64fdf5-s2h6r                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-s2h6r to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/explorer                                  Scaled up replica set explorer-5465b84fd from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/explorer-5465b84fd                        Created pod: explorer-5465b84fd-5vczj
35s         Normal   Scheduled           pod/explorer-5465b84fd-5vczj                         Successfully assigned turbo-engine-e2e/explorer-5465b84fd-5vczj to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/envmanager                                Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-nwmjw
35s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c                 Created pod: otel-collector-8584bc4d4c-4c2lm
34s         Normal   Created             pod/envmanager-76c64c8cc9-nwmjw                      Container created
34s         Normal   Pulling             pod/jaeger-54885dfdf-btnbs                           Pulling image "jaegertracing/all-in-one:1.54"
34s         Normal   Scheduled           pod/registry-7d5f66bcd8-55mfc                        Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-55mfc to turbo-engine-e2e-control-plane
34s         Normal   Created             pod/registry-7d5f66bcd8-55mfc                        Container created
34s         Normal   Pulled              pod/envmanager-76c64c8cc9-nwmjw                      Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/builder-678474bf88-rz9nl                         Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
34s         Normal   Started             pod/envmanager-76c64c8cc9-nwmjw                      Container started
34s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                       Created pod: registry-7d5f66bcd8-55mfc
34s         Normal   ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
34s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-5wdvl           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-5wdvl to turbo-engine-e2e-control-plane
34s         Normal   Pulled              pod/explorer-5465b84fd-5vczj                         Container image "turbo-engine/explorer:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/explorer-5465b84fd-5vczj                         Container created
34s         Normal   Created             pod/builder-678474bf88-rz9nl                         Container created
34s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-5wdvl           Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-5wdvl           Container created
34s         Normal   Pulling             pod/otel-collector-8584bc4d4c-4c2lm                  Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
34s         Normal   Pulled              pod/gateway-586c64fdf5-s2h6r                         Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/gateway-586c64fdf5-s2h6r                         Container created
34s         Normal   Started             pod/gateway-586c64fdf5-s2h6r                         Container started
34s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-5wdvl
34s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
34s         Normal   Started             pod/builder-678474bf88-rz9nl                         Container started
34s         Normal   Pulled              pod/registry-7d5f66bcd8-55mfc                        Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
34s         Normal   Pulled              pod/console-78fbd5c84-wvn8h                          Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/console-78fbd5c84-wvn8h                          Container created
33s         Normal   Created             pod/jaeger-54885dfdf-btnbs                           Container created
33s         Normal   Pulled              pod/jaeger-54885dfdf-btnbs                           Successfully pulled image "jaegertracing/all-in-one:1.54" in 1.13s (1.13s including waiting). Image size: 33344095 bytes.
33s         Normal   Started             pod/console-78fbd5c84-wvn8h                          Container started
33s         Normal   Started             pod/turbo-engine-operator-7cd95f4bc4-5wdvl           Container started
33s         Normal   Started             pod/explorer-5465b84fd-5vczj                         Container started
33s         Normal   Started             pod/registry-7d5f66bcd8-55mfc                        Container started
32s         Normal   Started             pod/jaeger-54885dfdf-btnbs                           Container started
31s         Normal   Pulled              pod/otel-collector-8584bc4d4c-4c2lm                  Successfully pulled image "otel/opentelemetry-collector-contrib:0.96.0" in 1.699s (2.695s including waiting). Image size: 65128183 bytes.
31s         Normal   Started             pod/otel-collector-8584bc4d4c-4c2lm                  Container started
31s         Normal   Created             pod/otel-collector-8584bc4d4c-4c2lm                  Container created
14s         Normal   SuccessfulCreate    replicaset/deploy-petstore-api-6bb6f76457            Created pod: deploy-petstore-api-6bb6f76457-ddq9z
14s         Normal   SuccessfulCreate    replicaset/deploy-petstore-orchestrator-7db558fdcf   Created pod: deploy-petstore-orchestrator-7db558fdcf-xqjs2
14s         Normal   Scheduled           pod/deploy-petstore-orchestrator-7db558fdcf-xqjs2    Successfully assigned turbo-engine-e2e/deploy-petstore-orchestrator-7db558fdcf-xqjs2 to turbo-engine-e2e-control-plane
14s         Normal   ScalingReplicaSet   deployment/deploy-petstore-api                       Scaled up replica set deploy-petstore-api-6bb6f76457 from 0 to 1
14s         Normal   ScalingReplicaSet   deployment/deploy-petstore-orchestrator              Scaled up replica set deploy-petstore-orchestrator-7db558fdcf from 0 to 1
14s         Normal   Scheduled           pod/deploy-petstore-api-6bb6f76457-ddq9z             Successfully assigned turbo-engine-e2e/deploy-petstore-api-6bb6f76457-ddq9z to turbo-engine-e2e-control-plane
13s         Normal   Started             pod/deploy-petstore-orchestrator-7db558fdcf-xqjs2    Container started
13s         Normal   Created             pod/deploy-petstore-orchestrator-7db558fdcf-xqjs2    Container created
13s         Normal   Pulled              pod/deploy-petstore-orchestrator-7db558fdcf-xqjs2    Container image "turbo-engine/orchestrator:e2e" already present on machine and can be accessed by the pod
13s         Normal   Started             pod/deploy-petstore-api-6bb6f76457-ddq9z             Container started
13s         Normal   Created             pod/deploy-petstore-api-6bb6f76457-ddq9z             Container created
13s         Normal   Pulled              pod/deploy-petstore-api-6bb6f76457-ddq9z             Container image "turbo-engine/petstore-mock:e2e" already present on machine and can be accessed by the pod
