LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
74s         Normal   Created             pod/jaeger-54885dfdf-78dbv                           Container created
74s         Normal   Pulled              pod/jaeger-54885dfdf-78dbv                           Successfully pulled image "jaegertracing/all-in-one:1.54" in 1.894s (4.477s including waiting). Image size: 33344095 bytes.
27s         Normal   Created             pod/deploy-petstore-orchestrator-5998cfd9f6-6bfxc    Container created
27s         Normal   SuccessfulCreate    replicaset/deploy-petstore-orchestrator-5998cfd9f6   Created pod: deploy-petstore-orchestrator-5998cfd9f6-6bfxc
27s         Normal   Started             pod/deploy-petstore-orchestrator-5998cfd9f6-6bfxc    Container started
27s         Normal   ScalingReplicaSet   deployment/deploy-petstore-orchestrator              Scaled up replica set deploy-petstore-orchestrator-5998cfd9f6 from 0 to 1
27s         Normal   Pulled              pod/deploy-petstore-orchestrator-5998cfd9f6-6bfxc    Container image "turbo-engine/orchestrator:e2e" already present on machine and can be accessed by the pod
27s         Normal   Scheduled           pod/deploy-petstore-orchestrator-5998cfd9f6-6bfxc    Successfully assigned turbo-engine-e2e/deploy-petstore-orchestrator-5998cfd9f6-6bfxc to turbo-engine-e2e-control-plane
27s         Normal   ScalingReplicaSet   deployment/deploy-petstore-api                       Scaled up replica set deploy-petstore-api-56c84b579c from 0 to 1
27s         Normal   SuccessfulCreate    replicaset/deploy-petstore-api-56c84b579c            Created pod: deploy-petstore-api-56c84b579c-jkkmq
27s         Normal   Started             pod/deploy-petstore-api-56c84b579c-jkkmq             Container started
27s         Normal   Created             pod/deploy-petstore-api-56c84b579c-jkkmq             Container created
27s         Normal   Pulled              pod/deploy-petstore-api-56c84b579c-jkkmq             Container image "turbo-engine/petstore-mock:e2e" already present on machine and can be accessed by the pod
27s         Normal   Scheduled           pod/deploy-petstore-api-56c84b579c-jkkmq             Successfully assigned turbo-engine-e2e/deploy-petstore-api-56c84b579c-jkkmq to turbo-engine-e2e-control-plane
