LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
76s         Normal   Pulled              pod/otel-collector-8584bc4d4c-tcmwd                  Successfully pulled image "otel/opentelemetry-collector-contrib:0.96.0" in 2.082s (3.285s including waiting). Image size: 65128183 bytes.
76s         Normal   Started             pod/otel-collector-8584bc4d4c-tcmwd                  Container started
76s         Normal   Created             pod/otel-collector-8584bc4d4c-tcmwd                  Container created
29s         Normal   SuccessfulCreate    replicaset/deploy-petstore-api-6f7d749b7c            Created pod: deploy-petstore-api-6f7d749b7c-48pnx
29s         Normal   SuccessfulCreate    replicaset/deploy-petstore-orchestrator-6486c65644   Created pod: deploy-petstore-orchestrator-6486c65644-lmxh6
29s         Normal   Scheduled           pod/deploy-petstore-orchestrator-6486c65644-lmxh6    Successfully assigned turbo-engine-e2e/deploy-petstore-orchestrator-6486c65644-lmxh6 to turbo-engine-e2e-control-plane
29s         Normal   ScalingReplicaSet   deployment/deploy-petstore-api                       Scaled up replica set deploy-petstore-api-6f7d749b7c from 0 to 1
29s         Normal   ScalingReplicaSet   deployment/deploy-petstore-orchestrator              Scaled up replica set deploy-petstore-orchestrator-6486c65644 from 0 to 1
29s         Normal   Scheduled           pod/deploy-petstore-api-6f7d749b7c-48pnx             Successfully assigned turbo-engine-e2e/deploy-petstore-api-6f7d749b7c-48pnx to turbo-engine-e2e-control-plane
28s         Normal   Started             pod/deploy-petstore-orchestrator-6486c65644-lmxh6    Container started
28s         Normal   Created             pod/deploy-petstore-orchestrator-6486c65644-lmxh6    Container created
28s         Normal   Pulled              pod/deploy-petstore-orchestrator-6486c65644-lmxh6    Container image "turbo-engine/orchestrator:e2e" already present on machine and can be accessed by the pod
28s         Normal   Started             pod/deploy-petstore-api-6f7d749b7c-48pnx             Container started
28s         Normal   Created             pod/deploy-petstore-api-6f7d749b7c-48pnx             Container created
28s         Normal   Pulled              pod/deploy-petstore-api-6f7d749b7c-48pnx             Container image "turbo-engine/petstore-mock:e2e" already present on machine and can be accessed by the pod
