LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
43s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-slh7f
43s         Normal   Scheduled           pod/builder-678474bf88-vtqgp                         Successfully assigned turbo-engine-e2e/builder-678474bf88-vtqgp to turbo-engine-e2e-control-plane
43s         Normal   ScalingReplicaSet   deployment/envmanager                                Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
43s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-xfzxt
43s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-vtqgp
43s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
43s         Normal   Scheduled           pod/console-78fbd5c84-slh7f                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-slh7f to turbo-engine-e2e-control-plane
43s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
42s         Normal   Created             pod/envmanager-76c64c8cc9-xfzxt                      Container created
42s         Normal   Scheduled           pod/jaeger-54885dfdf-cc8ps                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-cc8ps to turbo-engine-e2e-control-plane
42s         Normal   Created             pod/console-78fbd5c84-slh7f                          Container created
42s         Normal   Pulled              pod/console-78fbd5c84-slh7f                          Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
42s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
42s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-7t26n
42s         Normal   ScalingReplicaSet   deployment/otel-collector                            Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
42s         Normal   Pulled              pod/builder-678474bf88-vtqgp                         Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
42s         Normal   Pulling             pod/otel-collector-8584bc4d4c-llcb9                  Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
42s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-7t26n           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-7t26n to turbo-engine-e2e-control-plane
42s         Normal   ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
42s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                       Created pod: registry-7d5f66bcd8-xxqcg
42s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-llcb9                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-llcb9 to turbo-engine-e2e-control-plane
42s         Normal   Created             pod/registry-7d5f66bcd8-xxqcg                        Container created
42s         Normal   Pulled              pod/registry-7d5f66bcd8-xxqcg                        Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
