LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
26s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
26s         Normal   Scheduled           pod/console-78fbd5c84-wxfsr                     Successfully assigned turbo-engine-e2e/console-78fbd5c84-wxfsr to turbo-engine-e2e-control-plane
26s         Normal   ScalingReplicaSet   deployment/otel-collector                       Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
26s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c            Created pod: otel-collector-8584bc4d4c-h9d4n
26s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                   Created pod: builder-678474bf88-nthxs
26s         Normal   ScalingReplicaSet   deployment/builder                              Scaled up replica set builder-678474bf88 from 0 to 1
26s         Normal   ScalingReplicaSet   deployment/console                              Scaled up replica set console-78fbd5c84 from 0 to 1
26s         Normal   Scheduled           pod/builder-678474bf88-nthxs                    Successfully assigned turbo-engine-e2e/builder-678474bf88-nthxs to turbo-engine-e2e-control-plane
26s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                  Created pod: registry-7d5f66bcd8-92kcq
26s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-h9d4n             Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-h9d4n to turbo-engine-e2e-control-plane
26s         Normal   Scheduled           pod/registry-7d5f66bcd8-92kcq                   Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-92kcq to turbo-engine-e2e-control-plane
26s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                    Created pod: console-78fbd5c84-wxfsr
26s         Normal   Scheduled           pod/jaeger-54885dfdf-lfthn                      Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-lfthn to turbo-engine-e2e-control-plane
26s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4     Created pod: turbo-engine-operator-7cd95f4bc4-jt8z9
26s         Normal   ScalingReplicaSet   deployment/jaeger                               Scaled up replica set jaeger-54885dfdf from 0 to 1
26s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                     Created pod: jaeger-54885dfdf-lfthn
26s         Normal   ScalingReplicaSet   deployment/envmanager                           Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
26s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-jt8z9      Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-jt8z9 to turbo-engine-e2e-control-plane
26s         Normal   ScalingReplicaSet   deployment/registry                             Scaled up replica set registry-7d5f66bcd8 from 0 to 1
26s         Normal   Scheduled           pod/envmanager-76c64c8cc9-n4xxc                 Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-n4xxc to turbo-engine-e2e-control-plane
26s         Normal   ScalingReplicaSet   deployment/gateway                              Scaled up replica set gateway-7ddc7b66f6 from 0 to 1
26s         Normal   SuccessfulCreate    replicaset/gateway-7ddc7b66f6                   Created pod: gateway-7ddc7b66f6-nfdpn
26s         Normal   Scheduled           pod/gateway-7ddc7b66f6-nfdpn                    Successfully assigned turbo-engine-e2e/gateway-7ddc7b66f6-nfdpn to turbo-engine-e2e-control-plane
26s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                Created pod: envmanager-76c64c8cc9-n4xxc
25s         Normal   Started             pod/envmanager-76c64c8cc9-n4xxc                 Container started
25s         Normal   Created             pod/console-78fbd5c84-wxfsr                     Container created
25s         Normal   Pulled              pod/gateway-7ddc7b66f6-nfdpn                    Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
25s         Normal   Created             pod/gateway-7ddc7b66f6-nfdpn                    Container created
25s         Normal   Started             pod/gateway-7ddc7b66f6-nfdpn                    Container started
25s         Normal   Created             pod/envmanager-76c64c8cc9-n4xxc                 Container created
25s         Normal   Pulled              pod/envmanager-76c64c8cc9-n4xxc                 Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
25s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-jt8z9      Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
25s         Normal   Pulling             pod/jaeger-54885dfdf-lfthn                      Pulling image "jaegertracing/all-in-one:1.54"
25s         Normal   Pulled              pod/registry-7d5f66bcd8-92kcq                   Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
25s         Normal   Pulled              pod/builder-678474bf88-nthxs                    Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
25s         Normal   Created             pod/builder-678474bf88-nthxs                    Container created
25s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-jt8z9      Container created
25s         Normal   Started             pod/turbo-engine-operator-7cd95f4bc4-jt8z9      Container started
25s         Normal   Started             pod/console-78fbd5c84-wxfsr                     Container started
